Cross_val1, PCA_comp:200MLP layers: 900,300,300Cross_val1, PCA_comp:200MLP layers: 900,300,300Cross_val1, PCA_comp:200MLP layers: 900,300,300             precision    recall  f1-score   support
    class21       0.38      0.40      0.39        47
    class22       0.23      0.23      0.23        43
    class23       0.36      0.36      0.36        44
    class24       0.30      0.25      0.27        48
    class25       0.34      0.29      0.31        35
    class26       0.17      0.27      0.21        15
    class27       0.29      0.26      0.28        34
    class28       0.44      0.54      0.49        35
    class29       0.22      0.22      0.22        18

avg / total       0.35      0.36      0.35       951
Cross_val3, PCA_comp:800MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.41      0.47      0.44        40
     class2       0.19      0.16      0.18        31
     class3       0.36      0.30      0.33        40
     class4       0.29      0.27      0.28        15
     class5       0.14      0.10      0.12        30
     class6       0.51      0.66      0.57        47
     class7       0.20      0.20      0.20        25
     class8       0.48      0.62      0.55        24
     class9       0.17      0.14      0.16        28
    class10       0.41      0.45      0.43        38
    class11       0.29      0.30      0.30        33
    class12       0.15      0.12      0.13        25
    class13       0.27      0.23      0.25        13
    class14       0.23      0.19      0.20        27
    class15       0.70      0.73      0.72        26
    class16       0.34      0.32      0.33        34
    class17       0.63      0.60      0.62        48
    class18       0.10      0.11      0.10        38
    class19       0.27      0.31      0.29        48
    class20       0.25      0.27      0.26        22
    class21       0.30      0.30      0.30        47
    class22       0.27      0.26      0.26        43
    class23       0.38      0.36      0.37        44
    class24       0.15      0.12      0.13        48
    class25       0.32      0.34      0.33        35
    class26       0.29      0.33      0.31        15
    class27       0.23      0.15      0.18        34
    class28       0.44      0.57      0.50        35
    class29       0.25      0.33      0.29        18

avg / total       0.32      0.33      0.32       951
Cross_val3, PCA_comp:1400MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.36      0.50      0.42        40
     class2       0.17      0.13      0.15        31
     class3       0.28      0.23      0.25        40
     class4       0.20      0.20      0.20        15
     class5       0.25      0.13      0.17        30
     class6       0.47      0.60      0.53        47
     class7       0.31      0.20      0.24        25
     class8       0.42      0.58      0.49        24
     class9       0.12      0.07      0.09        28
    class10       0.35      0.37      0.36        38
    class11       0.28      0.30      0.29        33
    class12       0.11      0.08      0.09        25
    class13       0.75      0.23      0.35        13
    class14       0.17      0.15      0.16        27
    class15       0.62      0.81      0.70        26
    class16       0.33      0.26      0.30        34
    class17       0.54      0.58      0.56        48
    class18       0.14      0.16      0.15        38
    class19       0.27      0.29      0.28        48
    class20       0.22      0.27      0.24        22
    class21       0.30      0.34      0.32        47
    class22       0.27      0.28      0.27        43
    class23       0.33      0.27      0.30        44
    class24       0.18      0.15      0.16        48
    class25       0.28      0.34      0.31        35
    class26       0.22      0.33      0.26        15
    class27       0.16      0.15      0.15        34
    class28       0.42      0.49      0.45        35
    class29       0.18      0.17      0.17        18

avg / total       0.30      0.31      0.30       951
Cross_val4, PCA_comp:100MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.55      0.60      0.57        40
     class2       0.26      0.35      0.30        31
     class3       0.42      0.38      0.39        40
     class4       0.67      0.53      0.59        15
     class5       0.28      0.27      0.27        30
     class6       0.58      0.66      0.62        47
     class7       0.13      0.12      0.12        25
     class8       0.48      0.67      0.56        24
     class9       0.21      0.18      0.19        28
    class10       0.34      0.39      0.37        38
    class11       0.28      0.24      0.26        33
    class12       0.15      0.12      0.13        25
    class13       0.45      0.38      0.42        13
    class14       0.24      0.33      0.28        27
    class15       0.71      0.65      0.68        26
    class16       0.29      0.29      0.29        34
    class17       0.60      0.58      0.59        48
    class18       0.18      0.18      0.18        38
    class19       0.29      0.25      0.27        48
    class20       0.32      0.27      0.29        22
    class21       0.36      0.30      0.33        47
    class22       0.19      0.26      0.22        43
    class23       0.59      0.45      0.51        44
    class24       0.25      0.25      0.25        48
    class25       0.47      0.43      0.45        35
    class26       0.27      0.20      0.23        15
    class27       0.27      0.26      0.27        34
    class28       0.51      0.51      0.51        35
    class29       0.44      0.44      0.44        18

avg / total       0.37      0.37      0.37       951
Cross_val4, PCA_comp:200MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.45      0.53      0.48        40
     class2       0.44      0.35      0.39        31
     class3       0.42      0.40      0.41        40
     class4       0.59      0.67      0.62        15
     class5       0.30      0.20      0.24        30
     class6       0.67      0.81      0.73        47
     class7       0.06      0.04      0.05        25
     class8       0.41      0.54      0.46        24
     class9       0.08      0.07      0.08        28
    class10       0.27      0.29      0.28        38
    class11       0.23      0.27      0.25        33
    class12       0.23      0.24      0.24        25
    class13       0.36      0.31      0.33        13
    class14       0.23      0.22      0.23        27
    class15       0.75      0.81      0.78        26
    class16       0.38      0.44      0.41        34
    class17       0.58      0.54      0.56        48
    class18       0.15      0.13      0.14        38
    class19       0.28      0.25      0.26        48
    class20       0.44      0.32      0.37        22
    class21       0.28      0.34      0.30        47
    class22       0.09      0.07      0.08        43
    class23       0.47      0.36      0.41        44
    class24       0.20      0.25      0.22        48
    class25       0.44      0.46      0.45        35
    class26       0.31      0.33      0.32        15
    class27       0.31      0.32      0.31        34
    class28       0.49      0.51      0.50        35
    class29       0.43      0.33      0.38        18

avg / total       0.35      0.36      0.35       951
Cross_val4, PCA_comp:400MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.46      0.60      0.52        40
     class2       0.32      0.26      0.29        31
     class3       0.44      0.38      0.41        40
     class4       0.57      0.53      0.55        15
     class5       0.41      0.30      0.35        30
     class6       0.62      0.74      0.68        47
     class7       0.21      0.12      0.15        25
     class8       0.41      0.62      0.49        24
     class9       0.17      0.14      0.16        28
    class10       0.36      0.32      0.34        38
    class11       0.17      0.21      0.19        33
    class12       0.26      0.20      0.23        25
    class13       0.20      0.15      0.17        13
    class14       0.22      0.22      0.22        27
    class15       0.65      0.65      0.65        26
    class16       0.42      0.38      0.40        34
    class17       0.58      0.52      0.55        48
    class18       0.16      0.18      0.17        38
    class19       0.25      0.31      0.28        48
    class20       0.37      0.32      0.34        22
    class21       0.25      0.30      0.27        47
    class22       0.23      0.23      0.23        43
    class23       0.50      0.41      0.45        44
    class24       0.27      0.25      0.26        48
    class25       0.41      0.37      0.39        35
    class26       0.21      0.27      0.24        15
    class27       0.35      0.35      0.35        34
    class28       0.49      0.54      0.51        35
    class29       0.38      0.33      0.35        18

avg / total       0.36      0.36      0.36       951
Cross_val4, PCA_comp:800MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.51      0.55      0.53        40
     class2       0.22      0.19      0.21        31
     class3       0.47      0.38      0.42        40
     class4       0.56      0.67      0.61        15
     class5       0.21      0.13      0.16        30
     class6       0.61      0.70      0.65        47
     class7       0.15      0.12      0.13        25
     class8       0.35      0.62      0.45        24
     class9       0.14      0.11      0.12        28
    class10       0.38      0.29      0.33        38
    class11       0.19      0.24      0.21        33
    class12       0.11      0.08      0.09        25
    class13       0.30      0.23      0.26        13
    class14       0.28      0.26      0.27        27
    class15       0.74      0.65      0.69        26
    class16       0.29      0.29      0.29        34
    class17       0.57      0.48      0.52        48
    class18       0.12      0.13      0.12        38
    class19       0.16      0.21      0.18        48
    class20       0.29      0.32      0.30        22
    class21       0.22      0.28      0.25        47
    class22       0.17      0.19      0.18        43
    class23       0.50      0.36      0.42        44
    class24       0.19      0.19      0.19        48
    class25       0.36      0.34      0.35        35
    class26       0.27      0.20      0.23        15
    class27       0.27      0.26      0.27        34
    class28       0.41      0.51      0.46        35
    class29       0.43      0.33      0.38        18

avg / total       0.33      0.32      0.32       951
Cross_val4, PCA_comp:1400MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.43      0.50      0.47        40
     class2       0.15      0.13      0.14        31
     class3       0.46      0.33      0.38        40
     class4       0.26      0.33      0.29        15
     class5       0.17      0.17      0.17        30
     class6       0.65      0.70      0.67        47
     class7       0.15      0.12      0.13        25
     class8       0.44      0.58      0.50        24
     class9       0.14      0.14      0.14        28
    class10       0.35      0.29      0.32        38
    class11       0.17      0.21      0.19        33
    class12       0.14      0.12      0.13        25
    class13       0.14      0.15      0.15        13
    class14       0.17      0.19      0.18        27
    class15       0.74      0.65      0.69        26
    class16       0.22      0.21      0.21        34
    class17       0.51      0.42      0.46        48
    class18       0.12      0.11      0.11        38
    class19       0.15      0.17      0.16        48
    class20       0.29      0.27      0.28        22
    class21       0.29      0.34      0.31        47
    class22       0.15      0.19      0.16        43
    class23       0.35      0.25      0.29        44
    class24       0.14      0.15      0.14        48
    class25       0.52      0.46      0.48        35
    class26       0.15      0.13      0.14        15
    class27       0.19      0.21      0.20        34
    class28       0.39      0.49      0.43        35
    class29       0.33      0.39      0.36        18

avg / total       0.30      0.30      0.30       951
Cross_val5, PCA_comp:100MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.56      0.47      0.51        40
     class2       0.28      0.32      0.30        31
     class3       0.44      0.40      0.42        40
     class4       0.42      0.53      0.47        15
     class5       0.33      0.30      0.32        30
     class6       0.61      0.74      0.67        47
     class7       0.29      0.16      0.21        25
     class8       0.50      0.62      0.56        24
     class9       0.27      0.21      0.24        28
    class10       0.38      0.47      0.42        38
    class11       0.30      0.27      0.29        33
    class12       0.33      0.32      0.33        25
    class13       0.11      0.08      0.09        13
    class14       0.29      0.33      0.31        27
    class15       0.57      0.88      0.70        26
    class16       0.40      0.35      0.38        34
    class17       0.66      0.79      0.72        48
    class18       0.19      0.13      0.15        38
    class19       0.30      0.31      0.31        48
    class20       0.44      0.36      0.40        22
    class21       0.32      0.30      0.31        47
    class22       0.22      0.21      0.21        43
    class23       0.43      0.50      0.46        44
    class24       0.37      0.31      0.34        48
    class25       0.38      0.40      0.39        35
    class26       0.50      0.33      0.40        15
    class27       0.32      0.35      0.33        34
    class28       0.51      0.51      0.51        35
    class29       0.33      0.28      0.30        18

avg / total       0.39      0.40      0.39       951
Cross_val5, PCA_comp:200MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.59      0.57      0.58        40
     class2       0.18      0.23      0.20        31
     class3       0.29      0.35      0.31        40
     class4       0.53      0.53      0.53        15
     class5       0.23      0.27      0.25        30
     class6       0.65      0.72      0.69        47
     class7       0.25      0.20      0.22        25
     class8       0.55      0.71      0.62        24
     class9       0.08      0.07      0.07        28
    class10       0.42      0.34      0.38        38
    class11       0.37      0.30      0.33        33
    class12       0.32      0.24      0.27        25
    class13       0.20      0.08      0.11        13
    class14       0.39      0.33      0.36        27
    class15       0.62      0.77      0.69        26
    class16       0.30      0.32      0.31        34
    class17       0.67      0.83      0.74        48
    class18       0.21      0.18      0.19        38
    class19       0.23      0.25      0.24        48
    class20       0.25      0.23      0.24        22
    class21       0.40      0.38      0.39        47
    class22       0.18      0.16      0.17        43
    class23       0.51      0.45      0.48        44
    class24       0.32      0.25      0.28        48
    class25       0.41      0.43      0.42        35
    class26       0.58      0.47      0.52        15
    class27       0.26      0.29      0.28        34
    class28       0.54      0.60      0.57        35
    class29       0.33      0.33      0.33        18

avg / total       0.38      0.39      0.38       951
Cross_val5, PCA_comp:400MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.56      0.55      0.56        40
     class2       0.31      0.29      0.30        31
     class3       0.28      0.25      0.26        40
     class4       0.44      0.27      0.33        15
     class5       0.30      0.30      0.30        30
     class6       0.53      0.66      0.58        47
     class7       0.25      0.20      0.22        25
     class8       0.50      0.62      0.56        24
     class9       0.19      0.18      0.18        28
    class10       0.39      0.47      0.43        38
    class11       0.26      0.24      0.25        33
    class12       0.31      0.20      0.24        25
    class13       0.33      0.15      0.21        13
    class14       0.11      0.11      0.11        27
    class15       0.57      0.77      0.66        26
    class16       0.41      0.32      0.36        34
    class17       0.67      0.69      0.68        48
    class18       0.11      0.11      0.11        38
    class19       0.21      0.21      0.21        48
    class20       0.39      0.32      0.35        22
    class21       0.26      0.26      0.26        47
    class22       0.23      0.21      0.22        43
    class23       0.44      0.45      0.45        44
    class24       0.23      0.19      0.20        48
    class25       0.38      0.49      0.42        35
    class26       0.31      0.33      0.32        15
    class27       0.23      0.26      0.24        34
    class28       0.41      0.49      0.45        35
    class29       0.19      0.22      0.21        18

avg / total       0.34      0.35      0.34       951
Cross_val5, PCA_comp:800MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.44      0.50      0.47        40
     class2       0.21      0.23      0.22        31
     class3       0.20      0.20      0.20        40
     class4       0.33      0.27      0.30        15
     class5       0.34      0.37      0.35        30
     class6       0.56      0.77      0.65        47
     class7       0.30      0.24      0.27        25
     class8       0.43      0.42      0.43        24
     class9       0.04      0.04      0.04        28
    class10       0.39      0.39      0.39        38
    class11       0.37      0.33      0.35        33
    class12       0.18      0.12      0.14        25
    class13       0.00      0.00      0.00        13
    class14       0.09      0.07      0.08        27
    class15       0.64      0.81      0.71        26
    class16       0.45      0.38      0.41        34
    class17       0.63      0.69      0.66        48
    class18       0.07      0.08      0.08        38
    class19       0.22      0.23      0.23        48
    class20       0.32      0.27      0.29        22
    class21       0.26      0.30      0.28        47
    class22       0.24      0.26      0.25        43
    class23       0.39      0.36      0.38        44
    class24       0.29      0.25      0.27        48
    class25       0.39      0.31      0.35        35
    class26       0.31      0.27      0.29        15
    class27       0.24      0.24      0.24        34
    class28       0.43      0.54      0.48        35
    class29       0.19      0.22      0.21        18

avg / total       0.32      0.34      0.33       951
Cross_val5, PCA_comp:1400MLP layers: 800,400,400             precision    recall  f1-score   support

     class1       0.44      0.47      0.46        40
     class2       0.18      0.19      0.18        31
     class3       0.30      0.23      0.26        40
     class4       0.42      0.33      0.37        15
     class5       0.19      0.20      0.20        30
     class6       0.51      0.70      0.59        47
     class7       0.33      0.24      0.28        25
     class8       0.50      0.54      0.52        24
     class9       0.05      0.04      0.04        28
    class10       0.31      0.42      0.36        38
    class11       0.31      0.24      0.27        33
    class12       0.24      0.16      0.19        25
    class13       0.00      0.00      0.00        13
    class14       0.11      0.07      0.09        27
    class15       0.60      0.81      0.69        26
    class16       0.45      0.41      0.43        34
    class17       0.61      0.62      0.62        48
    class18       0.13      0.13      0.13        38
    class19       0.24      0.21      0.22        48
    class20       0.35      0.36      0.36        22
    class21       0.23      0.26      0.24        47
    class22       0.24      0.30      0.27        43
    class23       0.37      0.34      0.35        44
    class24       0.23      0.25      0.24        48
    class25       0.32      0.29      0.30        35
    class26       0.50      0.33      0.40        15
    class27       0.16      0.18      0.17        34
    class28       0.38      0.49      0.42        35
    class29       0.15      0.11      0.13        18

avg / total       0.31      0.32      0.31       951

Cross_val1, PCA_comp:60MLP layers: 1000,300,300             precision    recall  f1-score   support

     class1       0.62      0.57      0.60        40
     class2       0.21      0.23      0.22        31
     class3       0.40      0.53      0.46        40
     class4       0.60      0.20      0.30        15
     class5       0.45      0.33      0.38        30
     class6       0.54      0.66      0.60        47
     class7       0.25      0.12      0.16        25
     class8       0.55      0.75      0.63        24
     class9       0.22      0.21      0.22        28
    class10       0.45      0.37      0.41        38
    class11       0.39      0.27      0.32        33
    class12       0.17      0.20      0.18        25
    class13       0.25      0.15      0.19        13
    class14       0.17      0.15      0.16        27
    class15       0.65      0.85      0.73        26
    class16       0.50      0.44      0.47        34
    class17       0.76      0.73      0.74        48
    class18       0.20      0.21      0.20        38
    class19       0.36      0.42      0.39        48
    class20       0.29      0.27      0.28        22
    class21       0.35      0.43      0.38        47
    class22       0.29      0.26      0.27        43
    class23       0.39      0.43      0.41        44
    class24       0.36      0.44      0.39        48
    class25       0.39      0.31      0.35        35
    class26       0.45      0.33      0.38        15
    class27       0.32      0.24      0.27        34
    class28       0.43      0.57      0.49        35
    class29       0.29      0.28      0.29        18

avg / total       0.40      0.40      0.39       951
Cross_val1, PCA_comp:80MLP layers: 1000,300,300             precision    recall  f1-score   support

     class1       0.63      0.60      0.62        40
     class2       0.26      0.26      0.26        31
     class3       0.40      0.50      0.44        40
     class4       0.67      0.40      0.50        15
     class5       0.39      0.37      0.38        30
     class6       0.62      0.68      0.65        47
     class7       0.21      0.12      0.15        25
     class8       0.48      0.67      0.56        24
     class9       0.15      0.14      0.15        28
    class10       0.43      0.39      0.41        38
    class11       0.24      0.24      0.24        33
    class12       0.21      0.20      0.20        25
    class13       0.45      0.38      0.42        13
    class14       0.26      0.26      0.26        27
    class15       0.67      0.85      0.75        26
    class16       0.41      0.38      0.39        34
    class17       0.68      0.62      0.65        48
    class18       0.26      0.24      0.25        38
    class19       0.35      0.40      0.37        48
    class20       0.29      0.27      0.28        22
    class21       0.32      0.30      0.31        47
    class22       0.26      0.23      0.24        43
    class23       0.45      0.55      0.49        44
    class24       0.38      0.46      0.42        48
    class25       0.45      0.29      0.35        35
    class26       0.53      0.53      0.53        15
    class27       0.34      0.32      0.33        34
    class28       0.47      0.54      0.51        35
    class29       0.38      0.33      0.35        18

avg / total       0.40      0.41      0.40       951
Cross_val1, PCA_comp:100MLP layers: 1000,300,300             precision    recall  f1-score   support

     class1       0.61      0.57      0.59        40
     class2       0.36      0.29      0.32        31
     class3       0.43      0.53      0.47        40
     class4       0.44      0.27      0.33        15
     class5       0.36      0.33      0.34        30
     class6       0.53      0.66      0.58        47
     class7       0.12      0.08      0.10        25
     class8       0.56      0.75      0.64        24
     class9       0.08      0.07      0.08        28
    class10       0.44      0.37      0.40        38
    class11       0.29      0.27      0.28        33
    class12       0.20      0.20      0.20        25
    class13       0.57      0.31      0.40        13
    class14       0.25      0.22      0.24        27
    class15       0.67      0.85      0.75        26
    class16       0.50      0.41      0.45        34
    class17       0.70      0.62      0.66        48
    class18       0.23      0.24      0.23        38
    class19       0.35      0.44      0.39        48
    class20       0.29      0.36      0.32        22
    class21       0.43      0.45      0.44        47
    class22       0.18      0.21      0.19        43
    class23       0.42      0.41      0.41        44
    class24       0.34      0.42      0.37        48
    class25       0.54      0.40      0.46        35
    class26       0.54      0.47      0.50        15
    class27       0.31      0.26      0.29        34
    class28       0.50      0.54      0.52        35
    class29       0.23      0.17      0.19        18

avg / total       0.40      0.40      0.40       951
Cross_val1, PCA_comp:200MLP layers: 1000,300,300             precision    recall  f1-score   support

     class1       0.55      0.57      0.56        40
     class2       0.29      0.23      0.25        31
     class3       0.44      0.45      0.44        40
     class4       0.55      0.40      0.46        15
     class5       0.32      0.33      0.33        30
     class6       0.57      0.70      0.63        47
     class7       0.14      0.12      0.13        25
     class8       0.53      0.67      0.59        24
     class9       0.16      0.14      0.15        28
    class10       0.32      0.32      0.32        38
    class11       0.36      0.24      0.29        33
    class12       0.17      0.16      0.17        25
    class13       0.27      0.31      0.29        13
    class14       0.24      0.30      0.27        27
    class15       0.59      0.85      0.70        26
    class16       0.44      0.32      0.37        34
    class17       0.72      0.60      0.66        48
    class18       0.29      0.32      0.30        38
    class19       0.25      0.29      0.27        48
    class20       0.24      0.18      0.21        22
    class21       0.37      0.45      0.40        47
    class22       0.32      0.40      0.35        43
    class23       0.55      0.52      0.53        44
    class24       0.32      0.33      0.33        48
    class25       0.55      0.34      0.42        35
    class26       0.54      0.47      0.50        15
    class27       0.29      0.24      0.26        34
    class28       0.43      0.57      0.49        35
    class29       0.30      0.17      0.21        18

avg / total       0.39      0.39      0.39       951
Cross_val1, PCA_comp:400MLP layers: 1000,300,300             precision    recall  f1-score   support

     class1       0.49      0.53      0.51        40
     class2       0.31      0.32      0.32        31
     class3       0.41      0.47      0.44        40
     class4       0.75      0.40      0.52        15
     class5       0.32      0.27      0.29        30
     class6       0.52      0.66      0.58        47
     class7       0.11      0.08      0.09        25
     class8       0.54      0.62      0.58        24
     class9       0.18      0.21      0.20        28
    class10       0.39      0.39      0.39        38
    class11       0.26      0.30      0.28        33
    class12       0.11      0.08      0.09        25
    class13       0.80      0.31      0.44        13
    class14       0.11      0.07      0.09        27
    class15       0.57      0.77      0.66        26
    class16       0.45      0.26      0.33        34
    class17       0.67      0.54      0.60        48
    class18       0.30      0.32      0.31        38
    class19       0.17      0.19      0.18        48
    class20       0.19      0.18      0.19        22
    class21       0.29      0.30      0.29        47
    class22       0.16      0.19      0.17        43
    class23       0.45      0.45      0.45        44
    class24       0.23      0.27      0.25        48
    class25       0.30      0.23      0.26        35
    class26       0.30      0.40      0.34        15
    class27       0.34      0.29      0.32        34
    class28       0.43      0.51      0.47        35
    class29       0.38      0.28      0.32        18

avg / total       0.35      0.35      0.35       951
Cross_val2, PCA_comp:60MLP layers: 1000,300,300             precision    recall  f1-score   support

     class1       0.42      0.45      0.43        40
     class2       0.27      0.26      0.26        31
     class3       0.38      0.40      0.39        40
     class4       0.50      0.33      0.40        15
     class5       0.41      0.47      0.44        30
     class6       0.54      0.72      0.62        47
     class7       0.20      0.16      0.18        25
     class8       0.66      0.88      0.75        24
     class9       0.12      0.11      0.12        28
    class10       0.36      0.37      0.36        38
    class11       0.17      0.15      0.16        33
    class12       0.16      0.16      0.16        25
    class13       0.56      0.38      0.45        13
    class14       0.28      0.33      0.31        27
    class15       0.68      0.73      0.70        26
    class16       0.45      0.44      0.45        34
    class17       0.60      0.73      0.66        48
    class18       0.22      0.24      0.23        38
    class19       0.31      0.31      0.31        48
    class20       0.35      0.27      0.31        22
    class21       0.29      0.28      0.28        47
    class22       0.20      0.16      0.18        43
    class23       0.38      0.43      0.40        44
    class24       0.37      0.33      0.35        48
    class25       0.43      0.26      0.32        35
    class26       0.33      0.40      0.36        15
    class27       0.23      0.21      0.22        34
    class28       0.59      0.63      0.61        35
    class29       0.31      0.22      0.26        18

avg / total       0.37      0.38      0.37       951
Cross_val2, PCA_comp:80MLP layers: 1000,300,300             precision    recall  f1-score   support

     class1       0.55      0.42      0.48        40
     class2       0.29      0.29      0.29        31
     class3       0.44      0.45      0.44        40
     class4       0.45      0.33      0.38        15
     class5       0.48      0.43      0.46        30
     class6       0.58      0.70      0.63        47
     class7       0.17      0.16      0.17        25
     class8       0.57      0.83      0.68        24
     class9       0.21      0.14      0.17        28
    class10       0.38      0.42      0.40        38
    class11       0.19      0.21      0.20        33
    class12       0.15      0.16      0.15        25
    class13       0.50      0.15      0.24        13
    class14       0.29      0.26      0.27        27
    class15       0.74      0.65      0.69        26
    class16       0.42      0.44      0.43        34
    class17       0.64      0.77      0.70        48
    class18       0.25      0.32      0.28        38
    class19       0.32      0.46      0.38        48
    class20       0.29      0.27      0.28        22
    class21       0.30      0.23      0.26        47
    class22       0.29      0.23      0.26        43
    class23       0.41      0.45      0.43        44
    class24       0.41      0.38      0.39        48
    class25       0.31      0.23      0.26        35
    class26       0.33      0.33      0.33        15
    class27       0.35      0.24      0.28        34
    class28       0.49      0.57      0.53        35
    class29       0.26      0.28      0.27        18

avg / total       0.39      0.39      0.38       951
Cross_val2, PCA_comp:100MLP layers: 1000,300,300             precision    recall  f1-score   support

     class1       0.49      0.45      0.47        40
     class2       0.29      0.32      0.31        31
     class3       0.41      0.35      0.38        40
     class4       0.40      0.27      0.32        15
     class5       0.43      0.33      0.38        30
     class6       0.48      0.66      0.56        47
     class7       0.04      0.04      0.04        25
     class8       0.56      0.79      0.66        24
     class9       0.12      0.11      0.11        28
    class10       0.38      0.39      0.39        38
    class11       0.24      0.27      0.26        33
    class12       0.11      0.12      0.12        25
    class13       0.50      0.15      0.24        13
    class14       0.37      0.26      0.30        27
    class15       0.67      0.62      0.64        26
    class16       0.42      0.44      0.43        34
    class17       0.69      0.69      0.69        48
    class18       0.27      0.29      0.28        38
    class19       0.25      0.29      0.27        48
    class20       0.30      0.27      0.29        22
    class21       0.24      0.21      0.23        47
    class22       0.18      0.16      0.17        43
    class23       0.44      0.55      0.48        44
    class24       0.43      0.44      0.43        48
    class25       0.24      0.26      0.25        35
    class26       0.31      0.27      0.29        15
    class27       0.16      0.12      0.14        34
    class28       0.54      0.57      0.56        35
    class29       0.29      0.28      0.29        18

avg / total       0.36      0.36      0.36       951
Cross_val2, PCA_comp:200MLP layers: 1000,300,300             precision    recall  f1-score   support

     class1       0.48      0.50      0.49        40
     class2       0.26      0.29      0.27        31
     class3       0.33      0.35      0.34        40
     class4       0.36      0.27      0.31        15
     class5       0.39      0.43      0.41        30
     class6       0.59      0.74      0.66        47
     class7       0.14      0.12      0.13        25
     class8       0.53      0.67      0.59        24
     class9       0.11      0.11      0.11        28
    class10       0.44      0.45      0.44        38
    class11       0.20      0.24      0.22        33
    class12       0.07      0.04      0.05        25
    class13       0.75      0.23      0.35        13
    class14       0.44      0.44      0.44        27
    class15       0.75      0.58      0.65        26
    class16       0.48      0.44      0.46        34
    class17       0.54      0.67      0.60        48
    class18       0.30      0.24      0.26        38
    class19       0.29      0.42      0.34        48
    class20       0.17      0.09      0.12        22
    class21       0.45      0.38      0.41        47
    class22       0.14      0.14      0.14        43
    class23       0.50      0.50      0.50        44
    class24       0.45      0.40      0.42        48
    class25       0.21      0.17      0.19        35
    class26       0.24      0.33      0.28        15
    class27       0.26      0.24      0.25        34
    class28       0.51      0.57      0.54        35
    class29       0.40      0.33      0.36        18

avg / total       0.38      0.38      0.37       951
Cross_val2, PCA_comp:400MLP layers: 1000,300,300             precision    recall  f1-score   support

     class1       0.47      0.45      0.46        40
     class2       0.28      0.35      0.31        31
     class3       0.34      0.25      0.29        40
     class4       0.29      0.27      0.28        15
     class5       0.37      0.33      0.35        30
     class6       0.57      0.66      0.61        47
     class7       0.08      0.08      0.08        25
     class8       0.50      0.71      0.59        24
     class9       0.07      0.07      0.07        28
    class10       0.43      0.50      0.46        38
    class11       0.14      0.15      0.14        33
    class12       0.04      0.04      0.04        25
    class13       0.40      0.15      0.22        13
    class14       0.33      0.33      0.33        27
    class15       0.70      0.62      0.65        26
    class16       0.47      0.41      0.44        34
    class17       0.63      0.65      0.64        48
    class18       0.26      0.32      0.29        38
    class19       0.23      0.29      0.26        48
    class20       0.21      0.18      0.20        22
    class21       0.27      0.26      0.26        47
    class22       0.11      0.12      0.11        43
    class23       0.37      0.32      0.34        44
    class24       0.40      0.33      0.36        48
    class25       0.28      0.23      0.25        35
    class26       0.25      0.20      0.22        15
    class27       0.24      0.21      0.22        34
    class28       0.50      0.57      0.53        35
    class29       0.33      0.39      0.36        18

avg / total       0.34      0.34      0.34       951
Cross_val3, PCA_comp:60MLP layers: 1000,300,300             precision    recall  f1-score   support

     class1       0.51      0.60      0.55        40
     class2       0.24      0.26      0.25        31
     class3       0.30      0.33      0.31        40
     class4       0.64      0.47      0.54        15
     class5       0.36      0.33      0.34        30
     class6       0.70      0.81      0.75        47
     class7       0.12      0.12      0.12        25
     class8       0.59      0.54      0.57        24
     class9       0.24      0.18      0.20        28
    class10       0.39      0.42      0.41        38
    class11       0.34      0.39      0.37        33
    class12       0.29      0.16      0.21        25
    class13       0.25      0.15      0.19        13
    class14       0.21      0.22      0.21        27
    class15       0.72      0.81      0.76        26
    class16       0.26      0.24      0.25        34
    class17       0.54      0.60      0.57        48
    class18       0.21      0.21      0.21        38
    class19       0.31      0.31      0.31        48
    class20       0.45      0.41      0.43        22
    class21       0.29      0.32      0.31        47
    class22       0.23      0.21      0.22        43
    class23       0.49      0.50      0.49        44
    class24       0.31      0.38      0.34        48
    class25       0.37      0.40      0.38        35
    class26       0.47      0.47      0.47        15
    class27       0.38      0.24      0.29        34
    class28       0.58      0.54      0.56        35
    class29       0.19      0.17      0.18        18

avg / total       0.38      0.39      0.38       951
Cross_val3, PCA_comp:80MLP layers: 1000,300,300             precision    recall  f1-score   support

     class1       0.47      0.60      0.53        40
     class2       0.35      0.35      0.35        31
     class3       0.44      0.40      0.42        40
     class4       0.54      0.47      0.50        15
     class5       0.39      0.30      0.34        30
     class6       0.67      0.68      0.67        47
     class7       0.14      0.12      0.13        25
     class8       0.59      0.67      0.63        24
     class9       0.25      0.14      0.18        28
    class10       0.33      0.34      0.34        38
    class11       0.34      0.42      0.38        33
    class12       0.14      0.12      0.13        25
